#char font-size number-chars width
space 9 26 58
space 12 26 80
space 20 26 125
space 25 26 160
space 30 26 195
space 35 26 220
space 40 26 260
a 9 22 90
a 12 22 120
a 20 20 180
a 25 16 180
a 30 18 242
a 35 23 362
a 40 22 394
A 9 23 152
A 12 24 210
A 20 25 363
A 25 25 454
A 30 22 475
A 35 19 482
A 40 26 754
b 9 20 90
b 12 25 152
b 20 24 240
b 25 24 302
b 30 26 390
b 35 24 422
b 40 24 480
B 9 25 150
B 12 26 208
B 20 9 120
B 25 18 300
B 30 24 480
B 35 9 210
B 40 18 480
c 9 22 90
c 12 22 120
c 20 20 180
c 25 24 266
c 30 25 335
c 35 25 390
c 40 22 390
C 9 25 152
C 12 26 208
C 20 18 242
C 25 18 303
C 30 24 482
C 35 18 422
C 40 18 482
d 9 13 60
d 12 25 153
d 20 24 242
d 25 19 238
d 30 24 363
d 35 24 422
d 40 21 422
D 9 9 60
D 12 17 146
D 20 2 30
D 25 15 272
D 30 18 392
D 35 19 482
D 40 26 752
e 9 20 90
e 12 11 60
e 20 20 176
e 25 8 90
e 30 18 241
e 35 25 388
e 40 22 393
E 9 16 86
E 12 8 60
E 20 20 270
E 25 26 400
E 30 18 333
E 35 21 449
E 40 16 394
f 9 20 60
f 12 23 90
f 20 4 26
f 25 7 60
f 30 9 90
f 35 24 270
f 40 21 274
F 9 24 126
F 12 18 126
F 20 16 175
F 25 15 206
F 30 18 303
F 35 20 388
F 40 23 515
g 9 13 60
g 12 25 155
g 20 24 244
g 25 24 304
g 30 26 392
g 35 24 423
g 40 24 482
G 9 9 60
G 12 24 206
G 20 25 364
G 25 5 96
G 30 11 237
G 35 13 330
G 40 19 550
h 9 13 60
h 12 25 156
h 20 24 246
h 25 24 303
h 30 26 395
h 35 17 296
h 40 24 485
H 9 9 60
H 12 24 206
#H 20 20 366
H 20 23 336
H 25 5 96
H 30 18 396
H 35 13 330
H 40 19 550
i 9 24 65
i 12 9 34
i 20 16 90
i 25 26 183
i 30 18 152
i 35 3 30
i 40 8 90
I 9 20 64
I 12 22 87
I 20 18 124
I 25 25 208
#I 30 22 242
I 30 24 242
I 35 18 210
I 40 18 240
j 9 12 36
j 12 9 32
j 20 16 87
j 25 26 182
j 30 11 92
j 35 25 246
j 40 19 210
J 9 8 28
J 12 19 90
J 20 23 180
J 25 6 60
J 30 5 60
J 35 22 304
J 40 23 358
k 9 13 60
k 12 25 154
k 20 21 215
k 25 19 240
k 30 26 395
k 35 17 300
k 40 21 425
K 9 9 60
K 12 24 210
K 20 4 58
K 25 20 366
K 30 22 475
K 35 13 330
K 40 2 58
l 9 11 27
l 12 9 36
l 20 16 90
l 25 26 184
l 30 25 206
l 35 3 30
l 40 8 90
L 9 16 86
L 12 8 60
L 20 22 270
L 25 26 404
L 30 18 332
L 35 14 300
L 40 11 268
m 9 17 120
m 12 19 175
m 20 25 390
m 25 20 391
m 30 9 214
m 35 22 600
m 40 21 662
